"Start Time (UTCG)","Stop Time (UTCG)"
28 Oct 2011 18:54:00.000,28 Oct 2011 19:39:10.252

"Lat (deg)","Lon (deg)","Alt (km)","Azimuth (deg)","Elevation (deg)","Velocity (km/sec)"
-12.148,-77.000,10.668000,156.090,-0.000,0.180056
-12.671,-76.764,10.668000,156.040,0.000,0.180056
-13.193,-76.527,10.668000,155.987,-0.000,0.180056
-13.715,-76.289,10.668000,154.932,0.000,0.180056
-13.716,-76.289,10.668000,153.932,-0.000,0.180056
-13.716,-76.289,10.668000,151.932,-0.000,0.180056
-13.716,-76.289,10.668000,149.932,0.000,0.180056
-13.717,-76.288,10.668000,147.932,-0.000,0.180056
-13.717,-76.288,10.668000,145.932,0.000,0.180056
-13.717,-76.288,10.668000,143.932,-0.000,0.180056
-13.717,-76.288,10.668000,141.932,-0.000,0.180056
-13.718,-76.288,10.668000,139.932,-0.000,0.180056
-13.718,-76.287,10.668000,137.932,0.000,0.180056
-13.718,-76.287,10.668000,135.931,-0.000,0.180056
-13.718,-76.287,10.668000,133.931,0.000,0.180056
-13.719,-76.287,10.668000,131.931,-0.000,0.180056
-13.719,-76.287,10.668000,129.931,-0.000,0.180056
-13.719,-76.286,10.668000,127.931,0.000,0.180056
-13.719,-76.286,10.668000,125.931,-0.000,0.180056
-13.719,-76.286,10.668000,123.931,0.000,0.180056
-13.719,-76.285,10.668000,121.931,-0.000,0.180056
-13.720,-76.285,10.668000,119.931,-0.000,0.180056
-13.720,-76.285,10.668000,117.931,0.000,0.180056
-13.720,-76.285,10.668000,115.931,-0.000,0.180056
-13.720,-76.284,10.668000,113.931,-0.000,0.180056
-13.720,-76.284,10.668000,111.931,0.000,0.180056
-13.720,-76.284,10.668000,110.124,-0.000,0.180056
-13.903,-75.771,10.668000,109.002,0.000,0.180056
-13.903,-75.771,10.668000,108.002,0.000,0.180056
-13.903,-75.770,10.668000,106.001,-0.000,0.180056
-13.904,-75.770,10.668000,104.001,-0.000,0.180056
-13.904,-75.770,10.668000,102.001,-0.000,0.180056
-13.904,-75.769,10.668000,100.001,0.000,0.180056
-13.904,-75.769,10.668000,98.001,-0.000,0.180056
-13.904,-75.769,10.668000,96.001,0.000,0.180056
-13.904,-75.768,10.668000,94.001,-0.000,0.180056
-13.904,-75.768,10.668000,92.001,0.000,0.180056
-13.904,-75.768,10.668000,90.001,-0.000,0.180056
-13.904,-75.767,10.668000,88.001,0.000,0.180056
-13.904,-75.767,10.668000,86.001,0.000,0.180056
-13.904,-75.767,10.668000,84.001,-0.000,0.180056
-13.904,-75.766,10.668000,82.001,-0.000,0.180056
-13.904,-75.766,10.668000,80.000,0.000,0.180056
-13.904,-75.766,10.668000,78.000,0.000,0.180056
-13.904,-75.766,10.668000,76.000,-0.000,0.180056
